time(s)	origin signal	filtered signal
0.453	-0.407554		0.606743
0.454	-0.869241		0.304417
0.455	-1.26362		-0.0293892
0.456	-1.43919		-0.350201
0.457	-1.21262		-0.620037
0.458	-0.747854		-0.814714
0.459	-0.0491897		-0.925132
0.46	0.498318		-0.952765
0.461	0.789204		-0.902859
0.462	0.724954		-0.779628
0.463	0.661823		-0.586289
0.464	0.513095		-0.329653
0.465	0.545128		-0.0261717
0.466	0.668725		0.294885
0.467	0.938561		0.59397
0.468	1.05474		0.829677
0.469	0.756038		0.969385
0.47	0.27139		0.997839
0.471	-0.407166		0.919807
0.472	-0.924864		0.755526
0.473	-1.29603		0.532043
0.474	-1.31411		0.274489
0.475	-0.957752		0.00168632
0.476	-0.62203		-0.272387
0.477	-0.29055		-0.533387
0.478	-0.230665		-0.761287
0.479	-0.280758		-0.9294
0.48	-0.319838		-1.00922
0.481	-0.179983		-0.979549
0.482	0.205849		-0.835488
0.483	0.645314		-0.592839
0.484	1.2322		-0.285589
0.485	1.4697		0.0432611
0.486	1.36148		0.35264
0.487	1.02129		0.612099
0.488	0.370902		0.80479
0.489	-0.095957		0.924019
0.49	-0.447941		0.96751
0.491	-0.512855		0.93224
0.492	-0.492376		0.814338
0.493	-0.391191		0.613458
0.494	-0.509538		0.339473
0.495	-0.681044		0.0168265
0.496	-1.05232		-0.316515
0.497	-1.2038		-0.616522
0.498	-1.10568		-0.843584
0.499	-0.602029		-0.972301
0.5	-0.0461425		-0.995698
0.501	0.626499		-0.923152
0.502	1.05573		-0.773046
0.503	1.16904		-0.564726
0.504	0.979074		-0.314042
0.505	0.718139		-0.0340381
0.506	0.49845		0.260291
0.507	0.430762		0.54679
0.508	0.433006		0.794788
0.509	0.577859		0.96939
0.51	0.490084		1.04075
0.511	0.159072		0.993624
0.512	-0.362808		0.833266
0.513	-0.997533		0.584473
0.514	-1.36134		0.284226
0.515	-1.45911		-0.0288265
0.516	-1.22686		-0.323147
0.517	-0.671038		-0.577878
0.518	-0.158668		-0.780379
0.519	0.174331		-0.920922
0.52	0.338195		-0.988229
0.521	0.250408		-0.969136
0.522	0.210386		-0.853705
0.523	0.313649		-0.642544
0.524	0.584312		-0.352755
0.525	0.989695		-0.0181594
